Date,Open,High,Low,Close,Volume,Adj Close
1975-06-02,91.32,95.85,89.30,95.19,22210900,95.19
1975-05-01,87.30,93.51,86.94,91.15,22864700,91.15
1975-04-01,83.36,88.79,79.66,87.30,21336800,87.30
1975-03-03,81.59,87.08,80.08,83.36,23494000,83.36
1975-02-03,76.98,83.56,76.00,81.59,23221000,81.59
1975-01-02,68.65,78.69,68.65,76.98,20781300,76.98
1974-12-02,69.80,69.80,64.13,68.56,16005700,68.56
1974-11-01,73.90,77.41,66.85,69.97,14709500,69.97
1974-10-01,63.54,75.90,60.96,73.90,17214700,73.90
1974-09-03,72.15,73.01,62.52,63.54,14752500,63.54
1974-08-01,79.31,83.53,69.37,72.15,13469500,72.15
1974-07-01,86.00,86.89,78.96,79.31,12956800,79.31
1974-06-03,87.28,93.76,85.13,86.00,12867500,86.00
1974-05-01,90.31,93.59,85.87,87.28,12998100,87.28
1974-04-01,93.98,95.42,88.62,90.31,12630900,90.31
1974-03-01,96.22,101.05,93.44,93.98,15321400,93.98
1974-02-01,96.57,97.43,89.53,96.22,14236300,96.22
1974-01-02,97.55,100.94,91.62,96.57,17144000,96.57
1973-12-03,95.83,99.09,91.05,97.55,20392500,97.55
1973-11-01,108.29,109.20,94.88,95.96,19775200,95.96
1973-10-01,108.43,112.82,107.08,108.29,19164700,108.29
1973-09-04,104.25,110.45,102.13,108.43,18177300,108.43
1973-08-01,108.17,108.17,99.74,104.25,12390800,104.25
1973-07-02,104.10,111.04,100.44,108.22,15300400,108.22
1973-06-01,104.95,109.52,101.45,104.26,13308000,104.26
1973-05-01,106.97,112.25,101.36,104.95,15884000,104.95
1973-04-02,111.52,113.65,105.44,106.97,14640500,106.97
1973-03-01,111.68,115.61,107.41,111.52,16233600,111.52
1973-02-01,116.03,118.98,109.80,111.68,17691500,111.68
1973-01-02,118.06,121.74,114.97,116.03,19458000,116.03
1972-12-01,116.67,119.79,114.63,118.05,19593600,118.05
1972-11-01,111.58,117.91,111.32,116.67,21245500,116.67
1972-10-02,110.55,112.26,106.27,111.58,15125000,111.58
1972-09-01,111.09,112.12,107.35,110.55,13122000,110.55
1972-08-01,107.39,113.45,107.06,111.09,16055200,111.09
1972-07-03,107.14,110.27,104.43,107.39,15001000,107.39
1972-06-01,109.53,110.51,105.94,107.14,14880400,107.14
1972-05-01,107.67,111.48,103.83,109.53,15958100,109.53
1972-04-03,107.20,111.11,106.18,107.67,19107500,107.67
1972-03-01,106.57,109.75,105.86,107.20,19000400,107.20
1972-02-01,103.94,107.16,103.10,106.57,19829000,106.57
1972-01-03,102.09,105.00,100.87,103.94,18940000,103.94
1971-12-01,93.99,102.21,93.95,102.09,17805400,102.09
1971-11-01,94.23,96.08,89.34,93.99,14034700,93.99
1971-10-01,98.34,100.96,92.96,94.23,13894700,94.23
1971-09-01,99.03,102.25,96.97,98.34,12676600,98.34
1971-08-02,95.58,101.51,92.81,99.03,15043100,99.03
1971-07-01,99.16,101.52,95.08,95.58,13248000,95.58
1971-06-01,99.63,102.07,96.92,98.70,14500000,98.70
1971-05-03,103.95,104.42,98.68,99.63,15956000,99.63
1971-04-01,100.31,105.60,99.63,103.95,19955700,103.95
1971-03-01,96.75,102.03,96.11,100.31,17716900,100.31
1971-02-01,95.88,99.59,94.92,96.75,20444200,96.75
1971-01-04,92.15,96.49,90.64,95.88,18472500,95.88
1970-12-01,87.20,92.99,86.11,92.15,15846800,92.15
1970-11-02,83.25,87.60,82.23,87.20,12399500,87.20
1970-10-01,84.30,87.75,82.29,83.25,12358600,83.25
1970-09-01,81.52,84.99,79.95,84.30,15148500,84.30
1970-08-03,78.05,82.47,74.13,81.52,10925200,81.52
1970-07-01,72.72,79.03,70.69,78.05,10880900,78.05
1970-06-01,76.55,79.96,72.25,72.72,10713600,72.72
1970-05-01,81.52,82.32,68.61,76.55,12992800,76.55
1970-04-01,89.63,90.70,79.31,81.52,10590900,81.52
1970-03-02,89.50,91.07,86.19,89.63,10535700,89.63
1970-02-02,85.02,90.33,84.64,89.50,12698400,89.50
1970-01-02,92.06,94.25,84.42,85.02,11114700,85.02
1969-12-01,93.81,94.47,88.62,92.06,13260400,92.06
1969-11-03,97.12,99.23,92.24,93.81,11692100,93.81
1969-10-01,93.12,98.83,91.66,97.12,14052600,97.12
1969-09-02,95.51,96.62,91.77,93.12,10872800,93.12
1969-08-01,91.92,96.43,91.48,95.51,10025200,95.51
1969-07-01,97.71,100.33,88.04,91.83,11543300,91.83
1969-06-02,103.46,103.75,95.21,97.71,11608000,97.71
1969-05-01,103.69,106.74,102.29,103.46,12778500,103.46
1969-04-01,101.51,104.56,99.08,103.69,12203800,103.69
1969-03-03,98.13,102.35,97.06,101.51,10577000,101.51
1969-02-03,103.01,104.61,97.36,98.13,12026600,98.13
1969-01-02,103.86,104.87,96.63,103.01,12664500,103.01
1968-12-02,108.37,109.37,102.98,103.86,15589400,103.86
1968-11-01,103.41,109.09,101.85,108.37,15661100,108.37
1968-10-01,102.67,105.78,101.80,103.41,16102700,103.41
1968-09-03,98.86,103.63,98.31,102.67,14230000,102.67
1968-08-01,97.74,99.67,95.79,98.86,11231100,98.86
1968-07-01,99.58,103.67,96.84,97.74,14864700,97.74
1968-06-03,98.72,102.84,98.72,99.58,15842900,99.58
1968-05-01,97.46,100.19,95.80,98.68,13866800,98.68
1968-04-01,91.11,98.61,91.11,97.46,15490000,97.46
1968-03-01,89.36,91.09,86.99,90.20,9600400,90.20
1968-02-01,92.24,93.44,86.73,89.36,9583100,89.36
1968-01-02,96.47,97.84,91.27,92.24,12371800,92.24
1967-12-01,94.00,96.90,93.41,96.47,12220500,96.47
1967-11-01,93.30,95.51,90.09,94.00,11014500,94.00
1967-10-02,96.71,98.25,93.29,93.30,10763600,93.30
1967-09-01,93.64,98.31,93.00,96.71,10733500,96.71
1967-08-01,94.75,96.67,92.01,93.64,9419100,93.64
1967-07-03,90.64,95.51,90.12,94.75,11353000,94.75
1967-06-01,89.08,93.28,87.19,90.64,10020000,90.64
1967-05-01,94.01,95.25,88.71,89.08,10331300,89.08
1967-04-03,90.20,94.77,87.86,94.01,9942500,94.01
1967-03-01,86.78,91.72,86.67,90.20,10580400,90.20
1967-02-01,86.61,89.00,85.61,86.78,10153600,86.78
1967-01-03,80.33,88.17,79.43,86.61,10426100,86.61
